Item,Calories,Calories_from_Fat,Total_Fat_g,Sat_Fat_g,Trans_Fat_g,Cholesterol_mg,Sodium_mg,Carbs_g,Fiber_g,Sugars_g,Protein_g,VitA_pct,VitC_pct,Calcium_pct,Iron_pct
Bon To Go - Turkey & Cheddar Picnic,620,230,25.0,12.0,0.0,95,1560,66.0,1.0,15.0,33.0,,,,
Bon To Go - Sweet Turkey Wrap Pack,590,170,19.0,8.0,0.0,65,1130,84.0,7.0,31.0,23.0,,,,
Chocolate Covered Almonds,450,270,30.0,17.0,0.0,0,70,46.0,5.0,39.0,7.0,,,,
Food Should Taste Good All Natural Multigrain Chips,210,90,9.0,1.0,0.0,0,120,27.0,5.0,2.0,4.0,,,,
Fresh Grapes 8 oz.,160,5,0.0,0.0,0.0,0,0,41.0,2.0,35.0,2.0,,,,
Fruit Cup,140,5,0.5,0.0,0.0,0,30,36.0,2.0,32.0,2.0,,,,
Fruit Cup,70,0,0.0,0.0,0.0,0,15,18.0,1.0,16.0,1.0,,,,
Strawberry Cup,45,5,0.0,0.0,0.0,0,0,11.0,3.0,7.0,1.0,,,,
Fresh Watermelon 8 oz.,70,5,0.0,0.0,0.0,0,0,17.0,1.0,14.0,1.0,,,,
Signature Granola,720,320,36.0,15.0,0.0,25,180,89.0,11.0,35.0,16.0,,,,
Cape Cod Reduced Fat Sweet Mesquite BBQ Potato Chips,180,70,8.0,0.5,0.0,0,190,26.0,2.0,2.0,3.0,,,,
Cape Cod Sea Salt & Vinegar Potato Chips,220,90,10.0,1.0,0.0,0,390,28.0,1.0,0.0,3.0,,,,
Cape Cod Original Potato Chips,220,110,12.0,1.0,0.0,0,160,25.0,2.0,0.5,3.0,,,,
Mixed Nuts,430,320,36.0,4.5,0.0,0,140,18.0,6.0,3.0,14.0,,,,
Overnight Oats,410,120,13.0,3.0,0.0,5,40,61.0,8.0,20.0,15.0,,,,
Skinny Pop Popcorn,100,50,6.0,0.5,0.0,0,45,9.0,2.0,0.0,2.0,,,,
Snyders of Hanover Mini Pretzels,110,0,0.0,0.0,0.0,0,250,25.0,0.0,0.0,3.0,,,,
Blueberry Yogurt & Wild Blueberry Parfait,370,80,9.0,4.5,0.0,15,170,65.0,3.0,45.0,11.0,,,,
Greek Vanilla Yogurt & Wild Blueberry Parfait,320,70,8.0,3.5,0.0,20,115,44.0,4.0,31.0,23.0,,,,
Greek Vanilla Yogurt & Strawberry Parfait,330,70,8.0,3.5,0.0,20,115,45.0,5.0,32.0,23.0,,,,
Caesar Asiago,160,60,7.0,3.0,0.0,15,230,19.0,4.0,2.0,8.0,,,,
Chicken Caesar Asiago,290,80,9.0,3.5,0.0,90,410,21.0,4.0,2.0,33.0,,,,
Chicken Cobb with Avocado,460,220,25.0,10.0,0.0,270,970,17.0,6.0,7.0,44.0,,,,
Chef Salad,260,120,13.0,6.0,0.0,75,1260,10.0,3.0,6.0,30.0,,,,
Side Garden,50,5,0.0,0.0,0.0,0,35,11.0,4.0,5.0,2.0,,,,
Southwest Chicken,380,120,13.0,2.0,0.0,70,380,39.0,9.0,9.0,32.0,,,,
Thai Peanut Chicken Salad,250,50,6.0,1.0,0.0,80,290,23.0,5.0,6.0,29.0,,,,
Vegetarian Deluxe,260,120,13.0,5.0,0.0,25,820,26.0,8.0,10.0,12.0,,,,
ABP Croutons,90,20,2.5,0.0,0.0,0,140,14.0,1.0,1.0,3.0,,,,
Avocado Green Goddess Dressing,140,120,14.0,1.5,0.0,15,260,3.0,0.0,2.0,1.0,,,,
Balsamic Vinaigrette,80,60,7.0,1.0,0.0,0,270,5.0,0.0,5.0,0.0,,,,
Caesar Dressing,190,170,19.0,3.5,0.0,15,500,3.0,0.0,2.0,2.0,,,,
Chili Lime Vinaigrette,110,80,9.0,1.0,0.0,0,300,7.0,0.0,6.0,0.0,,,,
Lemon Vinaigrette,150,130,14.0,1.5,0.0,0,370,6.0,0.0,5.0,0.0,,,,
Citrus Lime Vinaigrette,110,80,9.0,1.0,0.0,0,260,7.0,0.0,6.0,0.0,,,,
Ranch Dressing,180,170,19.0,3.0,0.0,15,290,4.0,0.0,1.0,1.0,,,,
Thai Dressing,120,50,6.0,0.5,0.0,0,550,16.0,0.0,14.0,1.0,,,,
12 Veggies Soup,240,70,8.0,0.5,0.0,0,1200,36.0,5.0,14.0,6.0,,,,
12 Veggies Soup,180,50,6.0,0.0,0.0,0,900,27.0,4.0,11.0,4.0,,,,
12 Veggies Soup,120,35,4.0,0.0,0.0,0,600,18.0,2.0,7.0,3.0,,,,
Baked Stuffed Potato Soup,510,290,33.0,16.0,1.0,85,1400,46.0,4.0,2.0,9.0,,,,
Baked Stuffed Potato Soup,390,220,24.0,12.0,0.5,65,1050,34.0,3.0,2.0,7.0,,,,
Baked Stuffed Potato Soup,260,150,16.0,8.0,0.0,45,700,23.0,2.0,1.0,5.0,,,,
Barley and Creamy Lentil Soup,280,50,5.0,0.5,0.0,0,930,47.0,9.0,4.0,12.0,,,,
Barley and Creamy Lentil Soup,210,35,4.0,0.0,0.0,0,700,35.0,7.0,3.0,9.0,,,,
Barley and Creamy Lentil Soup,140,25,2.5,0.0,0.0,0,460,24.0,5.0,2.0,6.0,,,,
Broccoli Cheddar Soup,450,290,32.0,15.0,1.0,80,1390,27.0,4.0,7.0,14.0,,,,
Broccoli Cheddar Soup,340,220,24.0,11.0,0.5,60,1040,20.0,3.0,6.0,10.0,,,,
Broccoli Cheddar Soup,220,140,16.0,7.0,0.0,40,690,13.0,2.0,4.0,7.0,,,,
Chicken Florentine Soup,380,180,20.0,8.0,0.0,75,1490,36.0,2.0,6.0,13.0,,,,
Chicken Florentine Soup,280,130,15.0,6.0,0.0,60,1120,27.0,2.0,4.0,10.0,,,,
Chicken Florentine Soup,190,90,10.0,4.0,0.0,40,750,18.0,1.0,3.0,6.0,,,,
Chicken Noodle Soup,160,35,3.5,1.0,0.0,40,1370,20.0,2.0,3.0,10.0,,,,
Chicken Noodle Soup,120,25,2.5,1.0,0.0,30,1030,15.0,1.0,3.0,8.0,,,,
Chicken Noodle Soup,80,15,2.0,0.5,0.0,20,690,10.0,1.0,2.0,5.0,,,,
Clam Chowder,460,240,26.0,10.0,0.5,75,1490,42.0,3.0,12.0,15.0,,,,
Clam Chowder,350,180,20.0,8.0,0.0,55,1120,32.0,2.0,9.0,11.0,,,,
Clam Chowder,230,120,13.0,5.0,0.0,40,740,21.0,1.0,6.0,7.0,,,,
Corn and Green Chili Bisque,360,200,22.0,12.0,0.5,65,1780,35.0,4.0,7.0,7.0,,,,
Corn and Green Chili Bisque,270,150,16.0,9.0,0.0,45,1330,26.0,3.0,5.0,6.0,,,,
Corn and Green Chili Bisque,180,100,11.0,6.0,0.0,30,890,17.0,2.0,3.0,4.0,,,,
Harvest Pumpkin Soup,310,160,18.0,10.0,0.0,50,1420,35.0,3.0,12.0,4.0,,,,
Harvest Pumpkin Soup,230,120,13.0,7.0,0.0,35,1070,24.0,3.0,9.0,3.0,,,,
Harvest Pumpkin Soup,150,80,9.0,5.0,0.0,25,710,18.0,2.0,6.0,2.0,,,,
Lemon Orzo Chicken Soup,310,140,16.0,7.0,0.0,65,1590,26.0,2.0,3.0,16.0,,,,
Lemon Orzo Chicken Soup,230,110,12.0,6.0,0.0,50,1190,20.0,1.0,3.0,12.0,,,,
Lemon Orzo Chicken Soup,150,70,8.0,3.5,0.0,30,790,13.0,1.0,2.0,8.0,,,,
Roasted Eggplant Soup,250,80,8.0,3.0,0.0,15,890,33.0,5.0,14.0,11.0,,,,
Roasted Eggplant Soup,190,60,6.0,2.0,0.0,10,670,25.0,4.0,11.0,8.0,,,,
Roasted Eggplant Soup,130,40,4.0,1.5,0.0,5,450,17.0,3.0,7.0,6.0,,,,
Tomato Basil Bisque,320,130,14.0,9.0,0.0,50,500,40.0,3.0,22.0,9.0,,,,
Tomato Basil Bisque,240,100,11.0,7.0,0.0,40,380,30.0,2.0,17.0,7.0,,,,
Tomato Basil Bisque,160,60,7.0,4.5,0.0,25,250,20.0,1.0,11.0,4.0,,,,
"Turkey, Kale & Wild Rice Soup",420,200,23.0,10.0,0.5,60,1550,36.0,3.0,4.0,16.0,,,,
"Turkey, Kale & Wild Rice Soup",310,150,17.0,7.0,0.0,45,1160,27.0,2.0,3.0,12.0,,,,
"Turkey, Kale & Wild Rice Soup",210,100,11.0,5.0,0.0,30,780,18.0,2.0,2.0,8.0,,,,
Tuscan White Bean Soup,310,60,6.0,0.0,0.0,0,1270,48.0,21.0,8.0,15.0,,,,
Tuscan White Bean Soup,230,40,4.5,0.0,0.0,0,950,36.0,15.0,6.0,11.0,,,,
Tuscan White Bean Soup,150,30,3.0,0.0,0.0,0,630,24.0,10.0,4.0,7.0,,,,
Wild Mushroom Bisque,250,110,12.0,2.0,0.0,10,1420,30.0,4.0,8.0,7.0,,,,
Wild Mushroom Bisque,190,80,9.0,1.5,0.0,5,1070,23.0,3.0,6.0,5.0,,,,
Wild Mushroom Bisque,130,50,6.0,1.0,0.0,5,710,15.0,2.0,4.0,4.0,,,,
Beef and Vegetable Stew,450,200,22.0,4.0,0.0,75,1470,38.0,5.0,5.0,26.0,,,,
Beef and Vegetable Stew,340,150,16.0,3.0,0.0,60,1100,28.0,4.0,4.0,20.0,,,,
Beef and Vegetable Stew,230,100,11.0,2.0,0.0,40,730,19.0,3.0,2.0,13.0,,,,
Macaroni and Cheese,1170,510,57.0,35.0,2.0,195,1470,122.0,4.0,5.0,40.0,,,,
Macaroni and Cheese,880,390,43.0,26.0,1.5,145,1100,92.0,3.0,4.0,30.0,,,,
Macaroni and Cheese,590,260,29.0,18.0,1.0,95,730,61.0,2.0,2.0,20.0,,,,
Turkey Chili,450,110,12.0,2.0,0.0,40,900,59.0,21.0,8.0,26.0,,,,
Turkey Chili,330,80,9.0,1.5,0.0,30,680,44.0,15.0,6.0,19.0,,,,
Turkey Chili,220,50,6.0,1.0,0.0,20,450,29.0,10.0,4.0,13.0,,,,
