Item,Calories,Calories_from_Fat,Total_Fat_g,Sat_Fat_g,Trans_Fat_g,Cholesterol_mg,Sodium_mg,Carbs_g,Fiber_g,Sugars_g,Protein_g,VitA_pct,VitC_pct,Calcium_pct,Iron_pct
Iced Caffe Americano,15,5,0.0,0.0,0.0,0,35,3.0,0.0,3.0,0.0,,,,
Iced Caffe Americano,10,0,0.0,0.0,0.0,0,30,2.0,0.0,2.0,0.0,,,,
Iced Caffe Latte,180,80,9.0,5.0,0.0,25,140,15.0,0.0,15.0,9.0,,,,
Iced Caffe Latte,140,60,7.0,4.0,0.0,20,110,12.0,0.0,12.0,7.0,,,,
Iced Caramel Macchiato,330,90,10.0,6.0,0.0,30,170,51.0,0.0,48.0,10.0,,,,
Iced Caramel Macchiato,270,70,8.0,4.5,0.0,25,135,41.0,0.0,40.0,8.0,,,,
Iced Chai Latte,270,80,9.0,5.0,0.0,25,125,38.0,0.0,38.0,9.0,,,,
Iced Chai Latte,210,60,7.0,4.0,0.0,20,100,30.0,0.0,30.0,7.0,,,,
Iced Decaf French Roast Coffee,10,0,0.0,0.0,0.0,0,20,0.0,0.0,0.0,1.0,,,,
Iced Decaf French Roast Coffee,5,0,0.0,0.0,0.0,0,15,0.0,0.0,0.0,1.0,,,,
Iced French Roast Coffee,10,0,0.0,0.0,0.0,0,20,0.0,0.0,0.0,1.0,,,,
Iced French Roast Coffee,5,0,0.0,0.0,0.0,0,15,0.0,0.0,0.0,1.0,,,,
Iced French Vanilla Coffee,10,0,0.0,0.0,0.0,0,20,0.0,0.0,0.0,1.0,,,,
Iced French Vanilla Coffee,5,0,0.0,0.0,0.0,0,15,0.0,0.0,0.0,1.0,,,,
Iced Mocha Latte,400,100,11.0,7.0,0.0,25,160,64.0,0.0,61.0,11.0,,,,
Iced Mocha Latte,300,80,9.0,5.0,0.0,20,125,49.0,0.0,46.0,9.0,,,,
Iced Vanilla Latte,300,80,9.0,5.0,0.0,25,140,45.0,0.0,42.0,9.0,,,,
Iced Vanilla Latte,230,60,7.0,4.0,0.0,20,110,35.0,0.0,34.0,7.0,,,,
Mocha Latte,400,100,11.0,7.0,0.0,25,160,64.0,0.0,61.0,11.0,,,,
Mocha Latte,300,80,9.0,5.0,0.0,20,120,49.0,0.0,46.0,9.0,,,,
Vanilla Latte,300,80,9.0,5.0,0.0,25,135,45.0,0.0,42.0,9.0,,,,
Vanilla Latte,230,60,7.0,4.0,0.0,20,105,35.0,0.0,34.0,7.0,,,,
Vanilla Latte with Sugar Free Syrup,180,80,9.0,5.0,0.0,25,135,22.0,0.0,13.0,9.0,,,,
Vanilla Latte with Sugar Free Syrup,140,60,7.0,4.0,0.0,20,105,17.0,0.0,10.0,7.0,,,,
Whipped Cream Topping,20,15,1.5,1.0,0.0,5,0,0.0,0.0,0.0,0.0,,,,
Caffeine Free Diet Coke,5,0,0.0,0.0,0.0,0,35,0.0,0.0,0.0,0.0,,,,
Caffeine Free Diet Coke,5,0,0.0,0.0,0.0,0,30,0.0,0.0,0.0,0.0,,,,
Coke,390,0,0.0,0.0,0.0,0,10,104.0,0.0,104.0,0.0,,,,
Coke,290,0,0.0,0.0,0.0,0,5,78.0,0.0,78.0,0.0,,,,
Coke Zero,5,0,0.0,0.0,0.0,0,20,0.0,0.0,0.0,0.0,,,,
Coke Zero,5,0,0.0,0.0,0.0,0,15,0.0,0.0,0.0,0.0,,,,
Diet Coke,5,0,0.0,0.0,0.0,0,35,0.0,0.0,0.0,0.0,,,,
Diet Coke,5,0,0.0,0.0,0.0,0,30,0.0,0.0,0.0,0.0,,,,
FUZE Raspberry Iced Tea,240,0,0.0,0.0,0.0,0,30,66.0,0.0,0.0,0.0,,,,
FUZE Raspberry Iced Tea,180,0,0.0,0.0,0.0,0,20,50.0,0.0,50.0,0.0,,,,
Homestyle Lemonade,390,0,0.0,0.0,0.0,0,0,103.0,0.0,97.0,0.0,,,,
Homestyle Lemonade,290,0,0.0,0.0,0.0,0,0,78.0,0.0,72.0,0.0,,,,
Iced Black Tea,10,0,0.0,0.0,0.0,0,30,3.0,0.0,0.0,0.0,,,,
Iced Black Tea,5,0,0.0,0.0,0.0,0,20,2.0,0.0,0.0,0.0,,,,
Orange Juice,220,0,0.0,0.0,0.0,0,5,52.0,1.0,50.0,3.0,,,,
Orange Juice,110,0,0.0,0.0,0.0,0,0,26.0,0.0,26.0,2.0,,,,
PowerAde Mountain Blast,230,0,0.0,0.0,0.0,0,210,57.0,0.0,57.0,0.0,,,,
PowerAde Mountain Blast,170,0,0.0,0.0,0.0,0,160,43.0,0.0,43.0,0.0,,,,
Sprite,390,0,0.0,0.0,0.0,0,85,104.0,0.0,104.0,0.0,,,,
Sprite,290,0,0.0,0.0,0.0,0,65,78.0,0.0,78.0,0.0,,,,
Sprite Zero,10,0,0.0,0.0,0.0,0,20,0.0,0.0,0.0,0.0,,,,
Sprite Zero,5,0,0.0,0.0,0.0,0,15,0.0,0.0,0.0,0.0,,,,
Strawberry Lemonade,390,5,0.0,0.0,0.0,0,25,103.0,0.0,97.0,0.0,,,,
Strawberry Lemonade,300,0,0.0,0.0,0.0,0,20,77.0,0.0,73.0,0.0,,,,
Sweet Tea,340,0,0.0,0.0,0.0,0,30,88.0,0.0,85.0,0.0,,,,
Sweet Tea,250,0,0.0,0.0,0.0,0,20,66.0,0.0,64.0,0.0,,,,
Vitamin Water Zero - Squeezed,10,0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0,,,,
Vitamin Water Zero - Squeezed,5,0,0.0,0.0,0.0,0,5,0.0,0.0,0.0,0.0,,,,
Vitamin Water Zero - XXX,5,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,,,
Asiago Breadstick,150,15,2.0,1.0,0.0,5,290,27.0,2.0,3.0,6.0,,,,
Ancient Grain Breadstick,140,20,2.0,0.0,0.0,0,230,25.0,3.0,5.0,6.0,,,,
Ciabatta,260,10,1.0,0.0,0.0,0,580,53.0,2.0,2.0,10.0,,,,
Country White Bread,220,10,1.0,0.0,0.0,0,480,45.0,1.0,1.0,8.0,,,,
Rustic Baguette,250,20,2.5,1.0,0.0,0,530,48.0,0.0,1.0,9.0,,,,
Rustic Baguette,170,15,1.5,0.5,0.0,0,350,32.0,0.0,1.0,6.0,,,,
Semolina,310,30,3.5,0.5,0.0,0,700,59.0,3.0,2.0,11.0,,,,
Semolina,190,20,2.0,0.0,0.0,0,430,36.0,2.0,1.0,7.0,,,,
Multigrain,260,30,3.5,0.5,0.0,0,480,48.0,3.0,4.0,10.0,,,,
Multigrain,170,20,2.5,0.0,0.0,0,320,32.0,2.0,3.0,7.0,,,,
Tortilla Wrap 3.5 oz.,300,60,7.0,1.5,0.0,0,270,52.0,2.0,2.0,9.0,,,,
Whole Wheat Tortilla Wrap 3.5 oz.,300,60,7.0,1.5,0.0,0,270,50.0,9.0,1.0,10.0,,,,
2 Eggs & Bacon on Skinny Wheat Bagel,280,130,15.0,6.0,0.0,345,600,22.0,6.0,2.0,18.0,,,,
2 Eggs & Turkey Sausage on Skinny Wheat Bagel,310,150,16.0,6.0,0.0,360,660,22.0,7.0,1.0,23.0,,,,
2 Eggs on a Bagel,400,100,11.0,4.5,0.0,330,650,54.0,4.0,6.0,21.0,,,,
2 Eggs on a Bagel with Bacon,450,140,15.0,6.0,0.0,345,890,55.0,4.0,6.0,23.0,,,,
2 Eggs on a Bagel with Bacon and Cheese,510,180,20.0,9.0,0.0,360,980,55.0,4.0,6.0,27.0,,,,
2 Eggs on a Bagel with Cheese,460,140,16.0,7.0,0.0,345,740,54.0,4.0,6.0,24.0,,,,
2 Eggs on a Bagel with Ham 8.2oz,470,130,14.0,5.0,0.0,360,1080,56.0,4.0,8.0,28.0,,,,
"2 Eggs, Bacon and Cheddar on Ciabatta",510,180,20.0,9.0,0.0,360,1050,54.0,2.0,3.0,28.0,,,,
"2 Eggs, Cheddar & Bacon on Skinny Wheat Bagel",340,180,20.0,9.0,0.0,360,690,22.0,6.0,2.0,22.0,,,,
"2 Eggs, Cheddar & Ham on Skinny Wheat Bagel",350,170,19.0,8.0,0.0,375,880,24.0,7.0,3.0,26.0,,,,
"2 Eggs, Cheddar & Sausage on Skinny Wheat Bagel",450,260,29.0,12.0,0.0,390,790,23.0,6.0,2.0,28.0,,,,
"2 Eggs, Sausage & Cheddar on Asiago Bagel",670,300,34.0,15.0,0.0,405,1160,56.0,4.0,6.0,36.0,,,,
"2 Eggs, Sausage & Cheddar on Ciabatta",620,270,30.0,12.0,0.0,390,1140,55.0,2.0,2.0,33.0,,,,
"2 Eggs, Turkey Sausage & Cheddar on Skinny Wheat Bagel",370,190,21.0,9.0,0.0,375,750,22.0,7.0,1.0,26.0,,,,
Egg Whites and Cheddar on Skinny Wheat Bagel,210,60,7.0,4.5,0.0,20,490,22.0,6.0,1.0,19.0,,,,
